Key,french
TrevorDiaryTip3,"29 novembre 1967\nJe ne peux pas sortir. J'ai essayé par tous les moyens de m'échapper, mais seulement pour être confronté à la réalité que je suis pris au piège. J'ai été partout. Le laboratoire avec les grands tubes de verre remplis de formaldéhyde et ces grottes sombres, humides et étranges... Que puis-je faire ?\nAu début, je ne voulais pas en croire mes yeux. Mais cette chaussure à talons hauts familière dans le couloir... C'était comme un réflexe. Un nom m'est venu à l'esprit, Jessica !\nJe ne veux pas croire qu'ils partagent le même sort que moi. Non! Je ne peux pas perdre espoir. Je dois espérer qu'ils sont vivants.\n\nNov. 30 juillet 1967\nJe n'ai rien mangé ni bu ces derniers jours. J'ai l'impression de devenir fou. Pourquoi cela m'arrive-t-il ? Pourquoi dois-je mourir ainsi ? J'étais trop obsédé par la conception de cet horrible manoir. J'aurais dû savoir mieux.\n\nNov. 31 juillet 1967\nC'était un tunnel souterrain sombre et humide. Et une autre impasse. Mais même dans l'obscurité, quelque chose a attiré mon attention. Soigneusement, j'ai allumé la dernière allumette, il fallait que je voie ce que c'était. Une tombe! Mais profondément gravé dans la pierre était mon nom ! 'Georges Trevor'. À cet instant, tout est devenu clair pour moi. Ces salauds savaient depuis le début que j'allais mourir ici et je suis tombé dans leur piège. Mais il est trop tard maintenant. Je suis en train de le perdre. Tout devient si loin. Jessica... Lisa... Pardonne-moi. A cause de mon ego, je vous ai tous les deux impliqués dans cette putain de conspiration. Pardonne-moi. Que Dieu justifie ma mort en échange de votre sécurité.\n\nGeorge Trevor"
Botany Book,Livre de botanique
BotanyBookTip_title,Livre de botanique
BotanyBookTip,"Utilisations des herbes médicinales\n\nC'est un fait bien connu qu'il existe de nombreuses plantes qui sont créditées de pouvoirs de guérison médicinaux. Depuis l'Antiquité, l'humanité guérit les blessures et les maladies à l'aide de diverses plantes.\n\nDans ce livre, nous échantillonnerons trois herbes originaires des montagnes d'Arklay et décrirons brièvement chacune de leurs qualités médicinales. Chaque herbe a une couleur distincte et une qualité médicinale distincte.\n\nL'herbe verte récupère la force physique. L'herbe bleue neutralise les toxines naturelles. Cependant, l'herbe rouge n'a pas d'effet réel par elle-même. Nous avons constaté que le mélange d'herbes vertes et rouges produit un effet amplifié.\n\nNous décrirons les effets des herbes rouges lorsqu'elles sont mélangées à d'autres herbes lorsque nous aurons plus de données. En attendant, n'hésitez pas à expérimenter par vous-même, car la vraie connaissance s'acquiert mieux par sa propre expérience."
Keeper's Diary,Journal du gardien
KeeperDiaryTip_title,Journal du gardien
KeeperDiaryTip,"9 mai 1998\nJ'ai joué au poker ce soir avec Scott et Alias ​​de la sécurité et Steve de la recherche. Steve était le grand gagnant, mais je pense qu'il trichait. Scumbag.\n\n10 mai 1998\nL'un des supérieurs m'a chargé de m'occuper d'une nouvelle créature. Il ressemble à un gorille écorché. Les instructions d'alimentation étaient de lui donner des animaux vivants. Quand j'ai lancé un cochon, la créature a semblé jouer avec... arrachant les pattes du cochon et lui arrachant les tripes avant qu'il ne commence à manger.\n\n11 mai 1998\nVers 5 h du matin, Scott m'a réveillé . Ça m'a fait peur aussi. Il portait une combinaison de protection. Il m'en a tendu un autre et m'a dit de le mettre. Il a dit qu'il y avait eu un accident dans le labo du sous-sol. Je savais juste que quelque chose comme ça arriverait. Ces salauds de la Recherche ne dorment jamais, même en vacances\n\n12 mai 1998\nJe porte cette maudite combinaison spatiale depuis hier. Ma peau devient sale et me démange partout. Ces putains de chiens me regardaient bizarrement, alors j'ai décidé de ne pas les nourrir aujourd'hui. Baise-les.\n\n13 mai 1998\nJe suis allé à l'infirmerie parce que mon dos est tout enflé et que ça me démange. Ils ont mis un gros pansement dessus et m'ont dit que je n'avais plus besoin de porter le costume. Tout ce que je veux, c'est dormir.\n\n14 mai 1998\nJ'ai trouvé une autre grosse ampoule au pied ce matin. J'ai fini par traîner mon pied jusqu'à l'enclos du chien. Ils étaient silencieux toute la journée, ce qui est bizarre. Puis j'ai réalisé que certains d'entre eux s'étaient échappés. C'est peut-être leur façon de se venger de moi pour ne pas les avoir nourris ces trois derniers jours. Si quelqu'un le découvre, je me ferai remettre ma tête.\n\n16 mai 1998\nDes rumeurs circulent selon lesquelles un chercheur qui a tenté de s'échapper du domaine la nuit dernière a été abattu. Tout mon corps est chaud et me démange et je transpire tout le temps maintenant. J'ai gratté l'enflure de mon bras et un morceau de chair pourrie est tombé. Que diable m'arrive-t-il ?\n\n19 mai 1998\nFièvre partie mais démangeaisons. Aujourd'hui, j'ai faim et je mange de la nourriture pour chien.\n\n21 mai 1998\n Scott, qui démange, a un visage laid et l'a tué. Délicieux. 4//Démangeaisons. Délicieux."
Mail to the Chief of Security,Courrier au chef de la sécurité
MailToTheChiefOfSecurityTip_title,Courrier au chef de la sécurité
MailToTheChiefOfSecurityTip,"CONFIDENTIEL\n\nAttn : Chef de la sécurité\n\nDate : 22 juillet 1998, 2 h 13\n\nLe X jour s'appuie sur nous. Exécutez les procédures suivantes dans un délai d'une semaine. Des actions rapides sont exigées.\n\nLure S.T.A.R.S. au domaine et obtenez les données de combat brutes de B.O.W. contre le S.T.A.R.S.\n\nCollectez deux embryons de chaque spécimen muté comme échantillons, à l'exception du Tyran. Éliminez le Tyrant.\n\nAssurez-vous de l'élimination complète du Laboratoire d'Arklay, y compris de tout le personnel et des animaux de test. Déguisez leur mort en accident.
Lorsque les procédures ci-dessus sont exécutées, signalez-vous au siège pour obtenir des instructions supplémentaires.\n\nSi, pour une raison quelconque, vous n'êtes pas en mesure d'exécuter la procédure avant la date limite, signalez-le immédiatement. En cas de situation d'urgence, signalez-vous directement au numéro de poste 5691.\n\nBonne chance.\nUmbrella Headquarters,\nUmbrella Inc."
Researcher's Letter,Lettre du chercheur
ResearcherLetterTip_title,Lettre du chercheur
ResearcherLetterTip,"8 juin 1998\nMa très chère Ada.\n\nAu moment où vous lirez cette lettre, je ne serai plus la personne que vous avez connue. Les résultats de mon test sont sortis aujourd'hui, et comme je m'en doutais, ils se sont révélés positifs.\n\nJ'ai l'impression d'être à la limite de la raison rien qu'en pensant à ma perte imminente. Je donnerais n'importe quoi pour ne pas devenir l'un d'entre eux.\n\nPour autant que je sache, vous n'êtes pas infecté. J'espère sincèrement que les choses n'atteindront pas une passe aussi désespérée, mais s'il s'avère que vous êtes maintenant la dernière personne encore en vie, je veux que vous récupériez le matériel de la salle de données visuelles.\n\nEnsuite, activez l'auto- Détruisez le système dans la salle d'alimentation et échappez-vous d'ici. Veuillez faire tout ce qui est en votre pouvoir pour rendre public tout cet accident.\n\nSi tout fonctionne toujours normalement, vous devriez pouvoir déverrouiller toutes les serrures à l'aide du système de sécurité.\n\nJ'ai configuré le terminal dans la petite sécurité salle afin que vous puissiez vous connecter au système en utilisant mon nom et votre nom comme mot de passe.\n\nVous aurez besoin d'un autre mot de passe pour déverrouiller la porte du sous-sol niveau deux où se trouve la salle de données visuelles.\n\ nPar mesure de sécurité, j'ai codé ce mot de passe dans une image radiographique ; un radiogramme. Je vous connais, et je suis sûr que vous serez en mesure de résoudre ce problème sans aucun problème.\n\nIl reste juste une chose... et c'est ma dernière requête. J'espère que vous n'aurez jamais à me voir dans cet état, mais s'il vous arrive de me rencontrer sous ma forme hideuse, je vous prie de me sortir de ma misère. J'espère que vous comprenez.\n\nMerci, Ada.\nSincèrement,\nJohn"
Observation Note,Note d'observation
ObservationNoteTip_title,Note d'observation
ObservationNoteTip,"La découverte du G-Virus a en fait eu lieu 21 ans après l'administration du virus progéniteur.\n\nLe 'Prototype Parasite' que nous avions livré d'un laboratoire en France a été administré à l'échantillon échantillon. Le spécimen de l'échantillon a absorbé le parasite sans montrer aucun signe de réaction indésirable.\n\nL'absence de réaction était un mystère non résolu. Mais maintenant tout est clair pour moi maintenant.\n\nLe 'Prototype Parasite' a incubé dans le corps de l'échantillon pendant 21 ans. Puis, à partir de cet état d'incubation, le prototype a subitement muté. ("Évolué" est peut-être un mot plus approprié pour le décrire.)\n\nCette observation m'a donné plus de perspicacité dans mes recherches. Grâce à d'autres modifications et tests, j'ai pu dériver une méthode pour créer le 'G' qui surpasse les performances du 'T'.\n\nC'était la percée qui allait changer l'avenir de l'histoire du BOW.\n \nJ'ai hâte de voir l'expression agaçante d'Alexia lorsque j'annoncerai enfin mes recherches. Mais malheureusement, je devrai attendre encore quelques années pour vérifier complètement mes découvertes.\n\nWilliam Birkin"
Suicide Note,Note de suicide
SuicideNoteTip_title,Note de suicide
SuicideNoteTip,"22 juin 1998\n\nJe devais le faire. Nous avons fui ces choses - nous entraidant pour survivre. Mais Robert a commencé à montrer les symptômes. Je devais le faire. Ces fichues choses sont purement diaboliques.\n\nIl n'y avait pas d'autre moyen. Il aurait fait la même chose si c'était l'inverse. Après l'avoir sorti de sa misère, je n'ai eu qu'à le mettre dans la salle de bain. Maintenant, je suis probablement le dernier...\n\nComment cela a-t-il pu arriver ? Je ne me pardonnerai jamais de faire partie de ce projet. Finalement, j'obtiendrai ce qui m'arrive, cependant. Il n'y a aucun moyen de s'échapper de cette maison de fous, ce n'est qu'une question de temps maintenant.\n\nTout est prêt. Tout ce dont j'ai besoin, c'est d'un peu de courage pour y arriver. Savoir que je laisserai beaucoup de choses inachevées est un regret au-delà des mots.\n\nMais, c'est mieux que d'attendre de devenir l'une d'entre elles. S'il vous plaît, comprenez et laissez-moi au moins mettre fin à ma vie en tant que personne.\n\nIl y a un message au dos.\n\nLinda, s'il vous plaît, pardonnez-moi..."
Plant 42 Report,Rapport Usine 42
Plant42ReportTip_title,Rapport Usine 42
Plant42ReportTip,"Quatre jours se sont écoulés depuis l'accident. La plante du Point 42 pousse à une vitesse incroyable.\n\nBien qu'il y ait de nombreux aspects inconnus à propos de cette plante, nous savons qu'en comparaison avec l'autre groupe de plantes, le T-Virus a eu un effet beaucoup plus fort sur celle-ci .\n\nLe T-Virus a radicalement transformé l'anatomie de son hôte ainsi que sa taille. En regardant son état actuel, il est difficile d'imaginer son aspect d'origine. Nulle part sur Terre vous ne trouverez rien de tel.\n\nNous avons également découvert que PLANT 42 a deux sources principales pour acquérir ses nutriments nécessaires. Une source passe par sa racine. D'une manière ou d'une autre, il s'est enraciné dans le sous-sol.\n\nImmédiatement après l'accident, un scientifique est devenu fou et a détruit l'Aqua Ring. Depuis, le sous-sol est comme une piscine. Il est fort possible que ce soit l'un des produits chimiques présents dans l'eau qui favorise la croissance rapide du PLANT 42.\n\nCependant, nous n'avons pas encore déterminé le produit chimique spécifique.\n\nUn corps en forme de bulbe du PLANT 42 a été voyant suspendu au plafond du premier étage. Nous sommes sûrs qu'il a utilisé les conduits d'aération pour atteindre le premier étage. De nombreuses longues vignes ressemblant à des tentacules dépassent du bulbe.\n\nNous pensons que les vignes sont le deuxième moyen d'acquérir ses nutriments. Lorsque le PLANT 42 détecte une proie, il utilise les vignes en forme de tentacule pour capturer sa proie. Après cela, les ventouses de la vigne drainent la proie de son sang.\n\nNous avons également remarqué qu'elle est dotée d'une certaine intelligence. Lorsqu'il capture sa proie ou lorsqu'il est inactif, les lianes s'enroulent autour de la porte pour arrêter d'éventuels intrus.\n\nMalheureusement, plusieurs de nos scientifiques ont déjà été victimes de ce PLANT 42. Lorsque nous avons entendu les récits des survivants, ils ont tous a observé une chose en commun :\n\nLorsque les volets uniformes en forme de pétales s'ouvrent et révèlent ses organes vitaux, il a tendance à devenir plus agressif.\n\nUn témoin a rapporté que c'était comme s'il essayait de se protéger. Pourquoi il se comporte comme il le fait est encore inconnu.\n\n21 mai 1998\nHenry Sarton"
Organic Chemistry Lab Experiment,Expérience de laboratoire de chimie organique
OrganicChemistryLabExperimentTip_title,Expérience de laboratoire de chimie organique
OrganicChemistryLabExperimentTip,"Les similitudes dans les caractéristiques cellulaires de la plante à croissance rapide infectée par le virus Tyrant ont été rapportées dans des articles antérieurs. Cependant, en répétant ces expériences, un nouveau fait intéressant est devenu clair.\n\nNous avons appris qu'un produit chimique de la famille UMB, l'UMB n° 20, contient un composé toxique pour les cellules de la plante.\n\nNous avons donné à l'UMB n°20 un nouveau nom : V-JOLT. Si les calculs s'avèrent corrects, lorsque V-JOLT est appliqué directement à la racine de la plante, la plante entière devrait être morte dans les 5 secondes.\n\nLe V-JOLT peut être réalisé en mélangeant simplement les produits chimiques VP et UMB dans un mélange spécifique rapport. Cependant, des précautions supplémentaires doivent être prises lors de la manipulation de ces produits chimiques UMB. Ils sont connus pour générer des gaz toxiques en cas de mauvaise manipulation.\n\nLes caractéristiques de chaque produit chimique UMB sont les suivantes :\n\nUMB n° 3 rouge\nJaune-6 jaune\nUMB n° 7 vert\nUMB n° 10 orange\ nVP-017 bleu\nV-JOLT marron foncé"
Family Picture and Notes,Photo de famille et notes
FamilyPicture1Tip_title,Photo de famille et notes
FamilyPicture1Tip,"Il y a quelque chose d'écrit au dos\n\n\nNov. 10 1967\n-Virus progéniteur administré\n\nJessica\nVirus administré : Type-A\nPlasmolyse des tissus lors de l'activation cellulaire.\n\nFusion virale : Négative\n\nAction : Élimination\n\n\nLisa\n\ nVirus administré : Type-B\nPlasmolyse des tissus lors de l'activation cellulaire.\n\nFusion virale : Fusion positive mais retardée.\n\nModification corporelle : Résultats constants observés.\n\nStatut : Continuer l'observation protectrice.\n\n\nGeorge \nAction : terminée (30 novembre 1967)"
Lisa's Journal,Journal de Lisa
FamilyPicture2Tip_title,Journal de Lisa
FamilyPicture2Tip,"14 novembre 1967\nJ'ai des vertiges après cette piqûre qu'ils m'ont donnée. Je ne vois pas maman. Où l'ont-ils emmené ?\nElle a promis que nous nous échapperions ensemble. S'est-elle échappée seule et m'a-t-elle laissé derrière ?\n\nNov. 15 1967\nJ'ai trouvé maman. Nous avons mangé ensemble. J'étais très content.\n\nMais c'était une fausse. Pas ma vraie maman. Même visage mais différent à l'intérieur.\n\nJe dois trouver maman. Je dois redonner le visage à maman.\n\nJ'ai retrouvé le visage de maman.\nPersonne ne peut avoir ma maman sauf moi. J'attache son visage à moi pour qu'elle ne s'en aille pas.\nParce que maman est triste quand je la rencontre sans son visage.\n\nNov. 17, 19 7\nà l'intérieur de la boîte, parfum de maman. peut-être la vraie mère là-bas.\nboîte en pierre dure. Ça fait mal. corde d'acier dans le chemin.\nne peut pas voir la mère parce que 4 pierres.\n\n19\ndaddy a attaché le premier\nmomm a attaché le second\n\nside rouge et slimy\nwhite and hard\n\nnot true moM where\n\ndunno papa\na retrouvé maman\n\nwhne atachd momMa\nelle n'a plus bougé\nelle crie\n\npourquoi ?\nJe veux être avec elle\n\n4\nmaman\noù ?\n\nje te trouve"
Jessica's Letter,La lettre de Jessica
FamilyPicture3Tip_title,La lettre de Jessica
FamilyPicture3Tip,"À ma Lisa,\n\nJour après jour, je peux sentir ma conscience s'éloigner de plus en plus.\nLes injections que m'ont données des hommes en vêtements blancs ont fait disparaître certaines des démangeaisons de maman. Aujourd'hui, ils m'ont donné une autre piqûre en disant que c'était de la "nutrition".\n\nQuand ils me donnent les piqûres, maman peut penser correctement, mais maman est choquée et triste parce qu'elle est incapable de penser à toi tout le temps.\n\nMaman a peur. Peur de tout oublier, surtout les souvenirs de toi et de papa... À quoi ressemblent vos visages, comment nous étions ensemble... Ils commencent tous à disparaître dans un endroit sombre de mon esprit.\n\nOh Lisa, J'aimerais pouvoir toucher ton visage et te tenir dans mes bras maintenant, afin que je puisse garder nos merveilleux souvenirs de toi et de papa.\n\nLisa, nous ne pouvons plus rester ici. Nous devons nous échapper !\n\nÉcoutez-moi Lisa. Notre chance de nous échapper est la prochaine fois que nous irons ensemble dans ce labo. Nous ferons tous les deux semblant d'être tous les deux inconscients et lorsque cet homme en vêtements blancs sera au dépourvu, ce sera notre chance.\n\nQuand nous serons à l'extérieur, cherchons papa ensemble. OK chérie? Sois forte, Lisa.\n\nNov. 13 décembre 1967\nJessica Trevor"
V-ACT,V-ACT
VACTTip_title,V-ACT
VACTTip,"Note du chercheur\n\nIl est maintenant prouvé que lorsque l'hôte perd connaissance, le corps entre dans un état de sommeil. Pendant ce temps, le virus devient actif et se transforme rapidement et reconstruit la composition de base du corps.\n\nL'hôte a finalement muté en une créature humanoïde. (Nous les appelons V-ACT)\n\nSa vitesse et son incroyable développement musculaire sont particulièrement remarquables. Après transformation, il devient plus agile et agressif.\n\nDéjà quatre de nos chercheurs sont morts en essayant de le nourrir, transformant l'endroit en un bain de sang instantané. (Depuis cet accident tragique et barbare, nous avons décidé d'appeler son genre "Crimson Heads")\n\nCe prototype dangereux et précieux ne peut pas être laissé là. Nous devons trouver un moyen d'y faire face. La résiliation n'est certainement pas une option.\n\nNous avons finalement décidé de geler le spécimen et de confiner le corps dans le sous-sol du cimetière de l'arrière-cour."
FAX,FAX
FAXTip_title,FAX
FAXTip,"Destinataire : Division de l'assainissement\nAttn : Directeur de l'assainissement\nDe : Comité d'urgence en cas de catastrophe du raton laveur\n\nLe contenu de ce fax est confidentiel et destiné uniquement au destinataire désigné. Toute copie ou divulgation du contenu de ce fax à un tiers est strictement interdite par l'expéditeur.\n\nAprès avoir lu le contenu de ce fax, il doit être détruit immédiatement.\n\nNous nous attendons à une augmentation significative des dommages causés par la récente épidémie de T-Virus que prévu initialement. Il y a plusieurs préoccupations.\n\nPremière préoccupation\nPlus de la moitié des chercheurs ont été infectés par le T-Virus et sont décédés. Il a également été rapporté que presque tous les survivants de cet accident commencent à montrer des symptômes de l'infection par le virus T.\n\nDeuxième préoccupation\nNotre équipe de patrouille de sécurité secrète a également été complètement éradiquée. Par conséquent, nos recherches les plus secrètes risquent d'être rendues publiques. Des actions rapides sont exigées pour empêcher la couverture médiatique de masse.\n\nTroisième préoccupation\nIl y a une forte possibilité que la plupart des spécimens se détachent à l'intérieur de l'enceinte. Nous nous attendons à ce que de nombreuses victimes suivent.\n\nMême si malheureusement, ces pertes soulignent le succès de nos résultats de recherche. Des mesures doivent être prises pour empêcher que les résultats de nos recherches ne soient rendus publics.\n\nNous soupçonnons que la première intervention officielle viendra de la police d'État et du S.T.A.R.S. Nous vous recommandons fortement de prendre des mesures contre eux en premier."
Security Protocols,Protocoles de sécurité
SecurityProtocolsTip_title,Protocoles de sécurité
SecurityProtocolsTip,"SOUS-SOL NIVEAU DEUX\n\nSalle de données visuelles/ À l'usage exclusif de la Division de la recherche spéciale. Tout autre accès à la salle de données visuelles doit être autorisé avec Keith Arving, responsable de la salle.\n\n\nNIVEAU TROIS DU SOUS-SOL\n\nPrison/Division de l'assainissement contrôle l'utilisation de la prison. Au moins un chercheur consultant (E. Smith, S. Ross, A. Wesker) doit être présent si l'utilisation virale est autorisée.\n\n\nPorte à triple verrouillage/L'entrée dans la salle est limitée à la seule personne qui désactive le verrou avec tous les codes d'accès. L'accès aux terminaux de sortie exclusifs situés dans chaque section des chercheurs principaux désactive le verrou.\n\nSalle d'alimentation/ Dans cette salle, le composé nitro est utilisé comme principale source d'énergie. L'accès est limité aux superviseurs du siège. Cette restriction peut ne pas s'appliquer aux chercheurs consultants disposant d'une autorisation spéciale.\n\nTerminaux de sortie à code d'accès/ L'utilisation et l'accès aux terminaux de sortie sont limités aux chercheurs seniors autorisés.\n\n\nNIVEAU QUATRE DU SOUS-SOL\n\nEn ce qui concerne la progression de ' Tyran' après l'administration de T- Virus...\n(Illisible ci-après...)"
Quest_Completion_tip_title,Défi complété!
Completion_desc,Félicitations !\nVous avez réussi le défi Spencer Mansion.\n\nJ'espère que vous vous amuserez autant à y jouer que moi à le créer !\n\nFrantic Dan
Quest_Completion_tip,Félicitations !\nVous avez réussi le défi Spencer Mansion.\n\nJ'espère que vous vous amuserez autant à y jouer que moi à le créer !\n\nFrantic Dan
zombieArlene,La fille de JaWoodle
zombieMarlene,Misterri
zombieNurse,Chirurgien Parapluie
zombieJoe,Concessionnaire de Glock9
zombieSteve,Draycko
zombieBusinessMan,Aviose
zombieBoe,DD1GG
zombieJanitor,HellsJanitorTV
zombieMoe,TheOrigamiGuru
zombieLab,Scientifique parapluie
zombieDarlene,Lois Griffin
zombieYo,NotOnly25
zombieUtilityWorker,Ouvrier d'aquarium
zombieBiker,Games4Kickz
zombieLumberjack,JonahBirch
zombieFemaleFat,Big Red
zombieFatHawaiian,Peter Griffin
zombieMaleHazmat,Technicien Parapluie Hazmat
zombieSkateboarder,DoctorBest85
zombieSoldier,Agent du service de sécurité d'Umbrella
animalZombieDog,Cerbère
Zombie Dog,Cerbère
animalZombieVulture,Baise Flappy
animalSnake,Additionneur
Web Spinner,Tourneur Web
Crimson Head,Tête cramoisie
Crimson Head Prototype,Prototype de tête cramoisie
Crimson Head Prototype2,Prototype de tête cramoisie
Forest Speyer,Forêt Speyer
Forest Speyer2,Forêt Speyer
Hunter,Chasseur
Failed Test Subject,Échec du sujet de test
Plant 42,Usine 42
Yawn the Boar,Bâiller le sanglier
Black Tiger Spider,Araignée tigrée noire
Lisa Trevor,Lisa Trevor
Tyrant,Tyran
Super Tyrant,Super Tyran
Boe Crawler,DD1GG paralysé
Joe Crawler,Marchand paralysé de Glock9
Janitor Crawler,HellsJanitorTV paralysé
Arlene Crawler,La fille infirme de JaWoodle
Lab Worker Crawler,Scientifique Parapluie Estropié
Darlene Crawler,Lois Griffin estropiée
Marlene Crawler,Misterri estropié
Yo Crawler,Estropié NotOnly25
Steve Crawler,Draycko estropié
Business Man Crawler,Aviose estropié
Burnt Crawler,Tête cramoisie estropiée
Nurse Crawler,Chirurgien Umbrella Estropié
Hazmat Crawler,Technicien Hazmat Parapluie Estropié
Skateboarder Crawler,DoctorBest85 estropié
zombieMarleneRadiated,Misterri
zombieJoeRadiated,Concessionnaire de Glock9
zombieJanitorRadiated,HellsJanitorTV
zombieYoRadiated,NotOnly25


attStrengthRank01LongDesc,"Tout le monde veut être culturiste mais personne ne veut soulever ces poids lourds. Infligez 215 % de dégâts par balle dans la tête et 3 % de chances supplémentaires de vous démembrer avec des fusils de chasse et des poings."
attStrengthRank02LongDesc,"Vous êtes peut-être maigre, mais vous avez un feu à l'intérieur pour devenir grand et fort. Inflige 230 % de dégâts par balle dans la tête et a 6 % de chances de se démembrer avec des fusils de chasse et des poings."
attStrengthRank03LongDesc,"Que fait un buveur de lait comme vous dans l'apocalypse zombie ? Infligez 245 % de dégâts par balle dans la tête et 9 % de chances en plus de vous démembrer avec des fusils de chasse et des poings."
attStrengthRank04LongDesc,"Votre roue de secours peut vous empêcher de mourir de faim, mais ne vous aide pas à balancer un marteau. Infligez 260 % de dégâts par tir à la tête et 12 % de chances supplémentaires de vous démembrer avec des fusils de chasse et des poings."
attStrengthRank05LongDesc,"Vous êtes en forme et capable d'infliger 275 % de dégâts par balle à la tête et avez 15 % de chances supplémentaires de vous démembrer avec des fusils de chasse et des poings."
attStrengthRank06LongDesc,"Vous êtes très fort et tous les normands du gymnase vous envient. Inflige 290 % de dégâts par balle dans la tête et 18 % de chances supplémentaires de se démembrer avec des fusils de chasse et des poings."
attStrengthRank07LongDesc,"Pomper des clubs et des marteaux vous a donné des gains, mon frère. Infligez 305 % de dégâts par balle à la tête et 21 % de chances supplémentaires de vous démembrer avec des fusils de chasse et des poings."
attStrengthRank08LongDesc,"Votre force massive est légendaire. Infligez 320 % de dégâts par balle dans la tête et 24 % de chances supplémentaires de vous démembrer avec des fusils de chasse et des poings."
attStrengthRank09LongDesc,"La taille, la force et la puissance sont désormais de niveau champion. Infligez 335 % de dégâts par balle dans la tête et 27 % de chances supplémentaires de vous démembrer avec des fusils de chasse et des poings."
attStrengthRank10LongDesc,"Vous pourriez être un champion olympique si l'apocalypse n'avait pas anéanti ce rêve. Maintenant, vous pouvez simplement écraser les zombies. Infligez 350 % de dégâts par balle à la tête et 30 % de chances supplémentaires de vous démembrer avec des fusils de chasse et des poings."
perkDemolitionsExpertRank1LongDescRE,"Vous êtes maintenant un grenadier initié, soyez prudent avec ces explosifs. Augmente les dégâts de 17 %, la vitesse de rechargement de 10 %, vise 15 % plus rapidement, 15 % de chances de démembrer en plus."
perkDemolitionsExpertRank2LongDescRE,"Augmente les dégâts de 34 %, la vitesse de rechargement de 20 %, vise 30 % plus rapidement, 30 % de chances de démembrer en plus."
perkDemolitionsExpertRank3LongDescRE,"Vous êtes maintenant manutentionnaire d'explosifs. Augmente les dégâts de 51 %, augmente la vitesse de rechargement de 30 %, vise 45 % plus vite, 45 % de chances de démembrer en plus."
perkBoomstickRank1LongDescRE,"Infligez 17 % de dégâts supplémentaires, une cadence de tir 10 % plus rapide et un rechargement 10 % plus rapide. Étourdit les ennemis pendant 6 secondes.\nAugmente les chances de démembrer de 5 %."
perkBoomstickRank3LongDescRE,"Infligez 34 % de dégâts supplémentaires, une cadence de tir 20 % plus rapide et un rechargement 20 % plus rapide. Étourdit les ennemis pendant 8 secondes.\nAugmente les chances de démembrer de 10 %."
perkBoomstickRank5LongDescRE,"Inflige 51 % de dégâts supplémentaires, une cadence de tir 30 % plus rapide et un rechargement 30 % plus rapide.\nLes tirs dans les jambes paralysent les adversaires."
perkBrawlerNameRE,Brawler (Slots 7 8 9 0)
perkBrawlerRank1LongDescRE,Inflige 17 % de dégâts supplémentaires avec les poings. Les coups de poing à la tête annulent la capacité d'infection.
perkBrawlerRank3LongDescRE,Infligez 34 % de dégâts supplémentaires avec les poings. Les attaques puissantes à la tête ont 20 % de chances d'abattre votre adversaire et 30 % de chances d'étourdir les adversaires avec des attaques puissantes.
perkBrawlerRank5LongDescRE,Infligez 51% de dégâts supplémentaires. Les attaques puissantes à la tête ont 30 % de chances d'abattre votre adversaire et ont plus de chances d'exploser des têtes avec des coups de poing.
perkSexualTrexRank1LongDescRE,Vous avez obtenu le diplôme de chauffe-banc. Réduit l'utilisation de l'endurance au corps à corps et des outils de 6 % et les attaques puissantes de 10 %.
perkSexualTrexRank2LongDescRE,Vous êtes maintenant un athlète de bonne foi et être essoufflé à ne rien faire appartient au passé. Réduit l'utilisation de l'endurance de mêlée et des outils de 12 % et les attaques puissantes de 20 %.\nLes coups mortels confèrent 10 d'endurance.
perkSexualTrexRank3LongDescRE,Personne ne manquera de respect à un guerrier. Réduit l'utilisation de l'endurance de mêlée et des outils de 18 % et les attaques puissantes de 30 %.\nLes coups mortels confèrent 15 d'endurance.
perkSexualTrexRank4LongDescRE,Vous êtes maintenant un gladiateur en cage et vous avez atteint les plus hautes prouesses athlétiques possibles. Réduit l'utilisation de l'endurance de mêlée et des outils de 24 % et les attaques puissantes de 40 %.\nLes coups mortels confèrent 20 d'endurance.
perkMiner69rNameRE,Miner 69'er (Couteau/Clé)
perkMiner69rDescRE,Maximisez vos efforts miniers en augmentant les dégâts des outils pour faire tomber les roches et les arbres plus rapidement.
perkMiner69rRank1LongDescRE,Augmente les dégâts des blocs de 50 % avec votre couteau et votre clé.
perkMiner69rRank2LongDescRE,Augmente les dégâts des blocs de 100 % avec votre couteau et votre clé.
perkMiner69rRank3LongDescRE,Augmente les dégâts des blocs de 150 % avec votre couteau et votre clé.
attFortitudeRank01LongDesc,Vous n'êtes pas très résistant ou en bonne santé, mais au moins vous êtes en vie. Infligez 215 % de dégâts par balle dans la tête et 3 % de chances de vous démembrer avec des mitrailleuses.
attFortitudeRank02LongDesc,"Vous vous sentez un peu mieux qu'avant. Infligez 230 % de dégâts par balle dans la tête et 6 % de chances de vous démembrer avec des mitrailleuses."
attFortitudeRank03LongDesc,Vous continuez à défier la gravité et restez debout. Infligez 245 % de dégâts par balle dans la tête et 9 % de chances de vous démembrer avec des mitrailleuses.
attFortitudeRank04LongDesc,"Vous commencez à vous sentir comme des gens normaux. Infligez 260 % de dégâts par balle dans la tête et 12 % de chances de vous démembrer avec des mitrailleuses."
attFortitudeRank05LongDesc,Vous êtes en bonne santé. Infligez 275 % de dégâts par balle dans la tête et 15 % de chances de vous démembrer avec des mitrailleuses.
