Key,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
goDifficultyRE,"[FF4F00]Schwierigkeit (Lies mich)[-]"
TrevorDiaryTip,"24. November 1967\nElf Tage sind vergangen, seit ich auf diesem Anwesen angekommen bin. Wie bin ich dazu gekommen? Ein Typ in einem Laborkittel kam mit einem Teller mit magerem Essen und sagte zu mir: 'Tut mir leid, dass ich dir das antun muss aber es ist aus Sicherheitsgründen.' Da hat es mich getroffen. Jetzt macht alles Sinn. Es gibt nur zwei Leute, die das Geheimnis dieser Villa kennen, Sir Spencer und ich. Wenn sie mich töten, wird Sir Spencer die einzige Person sein, die das Geheimnis kennt. Aber wofür? Zweck? Es spielt keine Rolle. Es ist zu gefährlich hier. Meine Familie... Ich hoffe, es geht ihnen gut. Ich habe beschlossen zu fliehen... Jessica, Lisa, ich bete, dass du in Sicherheit bist.\n\nNov. 26. November 1967\nWie konnte ich so unvorsichtig sein? Ich habe mein Lieblingsfeuerzeug verloren - das, das Jessica mir zum Geburtstag geschenkt hat. Jetzt wird es viel schwieriger, aus diesem dunklen Ort herauszukommen.\n13. November, das Datum, an dem mein Das Schicksal war besiegelt. Meine Tante war nur drei Tage zuvor im Krankenhaus. Jessica und Lisa sagten, dass sie sie besuchen würden. Ich wünschte, ich könnte bei ihnen sein. Aber warte, während ich schreibe, kommt meine Erinnerung zurück Ich erinnere mich lebhafter. Kurz bevor ich ohnmächtig wurde, erinnere ich mich, dass die Männer in den Laborkitteln etwas sagten wie: 'Höchstwahrscheinlich ist Ihre Familie bereits...' Ich bete für ihre Sicherheit.\n\n27. November 1967\nSo irgendwie habe ich es geschafft, aus diesem Raum herauszukommen. Aber aus dieser Villa herauszukommen wird nicht so einfach sein. Ich muss alle Sprengfallen überwinden. Tigeraugen, goldenes Emblem... Ich muss versuchen, mich um meiner selbst willen daran zu erinnern...."
"Trevor's Diary2",Trevors Tagebuch
TrevorDiaryTip2_title,Trevors Tagebuch
TrevorDiaryTip2,"Da ist etwas Handgeschriebenes. es ist nicht veraltet.\n\nNichts hat sich geändert. Ich hätte nie gedacht, dass sich dieser Raum, den ich als Experiment entworfen habe, so auszahlen würde.\n\nHier kann ich mich sicher für eine Weile verstecken, denn niemand kennt das Geheimnis hinter diesem Gemälde. Nicht einmal Sir Spencer.\n\nGemälde eines Herrenhauses... hinten im Kunstraum."
"Trevor's Diary3",Trevors Tagebuch
TrevorDiaryTip3_title,Trevors Tagebuch,,,,,,,,,,,,,
TrevorDiaryTip3,"Nov. 29, 1967\nIch kann nicht raus. Ich habe jeden möglichen Fluchtweg versucht, aber nur um mit der Realität konfrontiert zu werden, dass ich gefangen bin. Ich war überall. Das Labor mit den großen, mit Formaldehyd gefüllten Glasröhrchen und diesen dunklen, nassen und unheimlichen Höhlen... Was kann ich tun?\nZuerst wollte ich meinen Augen nicht trauen. Aber dieser bekannte hochhackige Schuh auf dem Flur... Es war wie ein Reflex. Ein Name fiel mir ein, Jessica!\nIch möchte nicht glauben, dass sie das gleiche Schicksal teilen wie ich. Nein! Ich kann die Hoffnung nicht aufgeben. Ich muss hoffen, dass sie noch leben.\n\nNov. 30, 1967\nIch habe in den letzten Tagen nichts gegessen und getrunken. Ich habe das Gefühl, verrückt zu werden. Warum passiert mir das? Warum muss ich so sterben? Ich war zu besessen davon, dieses grässliche Herrenhaus zu entwerfen. Ich hätte es besser wissen sollen.\n\nNov. 31., 1967\nEs war ein dunkler und feuchter unterirdischer Tunnel. Und noch eine Sackgasse. Aber selbst in der Dunkelheit fiel mir etwas auf. Vorsichtig zündete ich das letzte Streichholz an, ich musste sehen, was es war. Ein Grab! Aber tief in den Stein eingraviert war mein Name! 'George Trevor'. In diesem Moment wurde mir alles klar. Diese Bastarde wussten von Anfang an, dass ich hier sterben würde, und ich bin direkt in ihre Falle getappt. Aber jetzt ist es zu spät. Ich verliere es. Alles wird so weit weg. Jessica... Lisa... Verzeih mir. Wegen meines Egos habe ich euch beide in diese ganze verdammte Verschwörung verwickelt. Verzeihen Sie mir. Möge Gott meinen Tod im Austausch für deine Sicherheit rechtfertigen.\n\nGeorge Trevor"
"Botany Book",Botanik Buch
BotanyBookTip_title,Botanik Buch,,,,,,,,,,,,,
BotanyBookTip,"Verwendung von Heilkräutern\n\nEs ist eine bekannte Tatsache, dass es viele Pflanzen gibt, denen medizinische Heilkräfte zugeschrieben werden. Seit der Antike heilt die Menschheit Wunden und Krankheiten mit verschiedenen Pflanzen.\n\nIn diesem Buch Wir werden drei Kräuter probieren, die in den Arklay Mountains heimisch sind, und jede ihrer medizinischen Eigenschaften kurz skizzieren. Jedes Kraut hat eine eigene Farbe und eine eigene medizinische Qualität.\n\nDas grüne Kraut stellt die körperliche Stärke wieder her. Das blaue Kraut neutralisiert natürliche Giftstoffe. Das rote Kraut allein hat jedoch keine wirkliche Wirkung. Wir haben festgestellt, dass das Mischen von grünen und roten Kräutern zu einem verstärkten Effekt führt.\n\nWir werden die Wirkung von roten Kräutern beim Mischen mit anderen Kräutern skizzieren, wenn wir mehr Daten haben experimentieren Sie gerne selbst, denn wahres Wissen erwirbt man am besten durch eigene Erfahrung."
"Keeper's Diary",Tagebuch des Wächters
KeeperDiaryTip_title,Tagebuch des Bewahrers
KeeperDiaryTip,"9. Mai 1998\nSpielte heute Abend Poker mit Scott und Alias ​​von Security und Steve von Research. Steve war der große Gewinner, aber ich glaube, er hat geschummelt. Drecksack.\n\n10. Mai 1998\nEiner der Höheren hat mich beauftragt, mich um ein neues Tier zu kümmern. Es sieht aus wie ein gehäuteter Gorilla. Die Fütterungsanweisung lautete, ihm lebende Tiere zu geben. Als ich ein Schwein warf, schien das Tier damit zu spielen... dem Schwein die Beine abzureißen und zu ziehen die Eingeweide raus, bevor es tatsächlich anfing zu fressen.\n\n11. Mai 1998\nGegen 5 Uhr morgens weckte mich Scott. Hat mich auch erschreckt. Er trug einen Schutzanzug. Er reichte mir einen anderen und sagte es mir um es anzuziehen. Sagte, es hätte einen Unfall im Kellerlabor gegeben. Ich wusste nur, dass so etwas passieren würde. Diese Bastarde in der Forschung schlafen nie, selbst im Urlaub\n\n12. Mai 1998\nIch habe die . getragen Verdammter Raumanzug seit gestern. Meine Haut wird schmutzig und juckt am ganzen Körper. Die gottverdammten Hunde haben mich komisch angesehen, also habe ich beschlossen, sie heute nicht zu füttern y. Scheiß drauf.\n\n13. Mai 1998\nGing auf die Krankenstation, weil mein Rücken ganz geschwollen ist und juckt. Sie legten einen großen Verband darauf und sagten mir, ich brauche den Anzug nicht mehr zu tragen. Ich will nur schlafen.\n\n14. Mai 1998\nHeute Morgen habe ich eine weitere große Blase an meinem Fuß gefunden. Am Ende schleppte ich meinen Fuß den ganzen Weg zum Pferch des Hundes. Sie waren den ganzen Tag ruhig, was seltsam ist. Dann wurde mir klar, dass einige von ihnen entkommen waren. Vielleicht ist das ihre Art, mich dafür zu rächen, dass ich sie die letzten drei Tage nicht gefüttert habe. Wenn es jemand herausfindet, wird mir mein Kopf ausgehändigt.\n\n16. Mai 1998\nEs gehen Gerüchte um, dass ein Forscher, der letzte Nacht versucht hatte, aus dem Anwesen zu fliehen, erschossen wurde. Mein ganzer Körper fühlt sich heiß an und juckt und ich schwitze die ganze Zeit. Ich kratzte die Schwellung an meinem Arm und ein Stück verfaultes Fleisch fiel einfach ab. Was zum Teufel passiert mit mir?\n\n19. Mai 1998\nDas Fieber ist weg, aber es juckt. Heute hungrig und Hündchenfutter essen.\n\n21. Mai 1998\n Der juckende Scott hatte ein hässliches Gesicht und tötete ihn. Lecker. 4 // Juckreiz. Lecker."
"Mail to the Chief of Security",Mail an den Sicherheitschef
MailToTheChiefOfSecurityTip_title,Mail an den Sicherheitschef,,,,,,,,,,,,,
MailToTheChiefOfSecurityTip,"VERTRAULICH\n\nAchtung: Chief of Security\n\nDatum: 22. Juli 1998 2:13\n\nDer X Day zieht uns in Anspruch. Führen Sie die folgenden Verfahren innerhalb einer Woche durch. Es sind sofortige Maßnahmen erforderlich.\n\nStars anlocken zum Anwesen und holen Sie sich BOWs Rohkampfdaten gegen STARS\n\nSammle zwei Embryonen von jedem mutierten Exemplar als Proben, ausgenommen den Tyrant. Entsorge den Tyrant.\n\nStelle sicher, dass das Arklay-Labor einschließlich aller Mitarbeiter und Versuchstiere, ihren Tod als Unfall zu tarnen.
Wenn die oben genannten Verfahren durchgeführt wurden, melden Sie sich bei der Zentrale, um weitere Anweisungen zu erhalten.\n\nWenn Sie das Verfahren aus irgendeinem Grund nicht innerhalb der Frist ausführen können, melden Sie sich sofort. Melden Sie sich in Notsituationen direkt unter der Durchwahl 5691.\n\nViel Glück.\nUmbrella Headquarters,\nUmbrella Inc."
"Researcher's Letter",Forscherbrief
ResearcherLetterTip_title,Brief des Forschers
ResearcherLetterTip,"8. Juni 1998\nMeine liebste Ada.\n\nWenn Sie diesen Brief lesen, werde ich nicht mehr die Person sein, die Sie einst kannten. Die Ergebnisse meines Tests kamen heute heraus, und wie ich vermutete, war er positiv. \n\nIch fühle mich, als würde ich am Rande der Vernunft schwanken, wenn ich nur an meinen bevorstehenden Untergang denke. Ich würde alles geben, um nicht einer von ihnen werden zu müssen.\n\nSoweit ich weiß, bist du nicht infiziert. Ich aufrichtig Ich hoffe, die Dinge werden nicht so verzweifelt, aber wenn sich herausgestellt hat, dass Sie jetzt die letzte Person sind, die noch am Leben ist, möchte ich, dass Sie das Material aus dem visuellen Datenraum holen.\n\nDann aktiviere das Selbstzerstörungssystem in den Kraftraum, und entkommen Sie von hier. Bitte tun Sie alles in Ihrer Macht Stehende, um diesen ganzen Unfall öffentlich zu machen.\n\nWenn alles noch normal läuft, sollten Sie alle Schlösser mit dem Sicherheitssystem aufheben können.\n\ nIch habe das Terminal im kleinen Sicherheitsraum so eingerichtet, dass Sie sich mit meinem Namen und Ihrem Namen als Passwort am System anmelden können.\n\nSie werden benötige ein weiteres Passwort, um das Schloss der Tür im Kellergeschoss 2 zu öffnen, wo sich der visuelle Datenraum befindet.\n\nAus Sicherheitsgründen habe ich dieses Passwort in ein Röntgenbild codiert; ein Röntgenogramm. Ich kenne dich und ich bin sicher, dass du es ohne Probleme lösen kannst.\n\nEs gibt nur noch eine Sache... und es ist meine letzte Bitte. Ich hoffe, Sie müssen mich in diesem Zustand nie sehen, aber wenn Sie mir in meiner scheußlichen Gestalt begegnen, bitte ich Sie, mich aus meinem Elend zu erlösen. Ich hoffe, du verstehst.\n\nDanke, Ada.\nMit freundlichen Grüßen\nJohn"
"Observation Note",Beobachtungsnotiz
ObservationNoteTip_title,Beobachtungshinweis
ObservationNoteTip,"Die Entdeckung des G-Virus erfolgte tatsächlich 21 Jahre nach der Verabreichung des Vorläufervirus.\n\nDer Probe wurde der von uns aus einem Labor in Frankreich gelieferte 'Prototype Parasite' verabreicht. Die Probe wurde aufgenommen den Parasiten, ohne irgendwelche Anzeichen einer Nebenwirkung zu zeigen.\n\nDas Ausbleiben einer Reaktion war ein ungelöstes Rätsel. Aber jetzt ist mir alles klar.\n\nDer 'Prototyp-Parasit' brütete 21 Jahre lang im Körper des Probeexemplars . Aus diesem Inkubationszustand heraus mutierte der Prototyp plötzlich. ('entwickelt' könnte ein passenderes Wort sein, um ihn zu beschreiben.)\n\nDiese Beobachtung gab mir mehr Einblick in meine Forschung. Durch weitere Modifikationen und Tests konnte ich daraus ableiten eine Methode, um das 'G' zu erzeugen, das die Leistung des 'T' übertrifft.\n\nDies war der Durchbruch, der die Zukunft der Geschichte des BOW verändern würde.\n\nIch kann es kaum erwarten, den Look zu sehen Alexias nerviges Gesicht, als ich endlich meine Recherche ankündige Ich muss noch ein paar Jahre warten, um meine Ergebnisse vollständig zu überprüfen.\n\nWilliam Birkin"
"Suicide Note",Abschiedsbrief
SuicideNoteTip_title,Abschiedsbrief
SuicideNoteTip,"22. Juni 1998\n\nIch musste es tun. Wir rannten vor diesen Dingern davon und halfen uns gegenseitig, zu überleben. Aber Robert begann, die Symptome zu zeigen. Ich musste es tun. Diese verdammten Dinger sind das pure Böse.\n\nEs gab keinen anderen Weg. Er hätte dasselbe getan, wenn es umgekehrt gewesen wäre. Nachdem ich ihn von seinem Elend befreit hatte, musste ich ihn einfach ins Badezimmer bringen. Jetzt bin ich wahrscheinlich der Letzte...\n\nWie konnte das passieren? Ich werde es mir nie verzeihen, Teil dieses Projekts zu sein. Irgendwann bekomme ich aber, was auf mich zukommt. Es gibt keine Möglichkeit, aus diesem Irrenhaus zu entkommen, es ist jetzt nur noch eine Frage der Zeit.\n\nAlles ist vorbereitet. Alles, was ich brauche, ist ein bisschen Mut, um es zu schaffen. Zu wissen, dass ich viele Dinge unerledigt lassen werde, ist ein unbeschreibliches Bedauern.\n\nAber das ist besser, als nur darauf zu warten, sich in eines von ihnen zu verwandeln. Bitte verstehe und lass mich wenigstens mein Leben als Person beenden.\n\nDa ist eine Nachricht auf der Rückseite.\n\nLinda, bitte vergib mir..."
"Plant 42 Report",Werk 42-Bericht
Plant42ReportTip_title,Werk 42-Bericht
Plant42ReportTip,"Seit dem Unfall sind vier Tage vergangen. Die Pflanze bei Punkt 42 wächst mit erstaunlicher Geschwindigkeit.\n\nObwohl es viele unbekannte Aspekte bei dieser Pflanze gibt, wissen wir, dass das T-Virus im Vergleich zu der anderen Pflanzengruppe einen wesentlich stärkeren Einfluss auf diese hat .\n\nDas T-Virus hat sowohl die Anatomie als auch die Größe seines Wirts drastisch verändert. Betrachtet man seinen jetzigen Zustand, kann man sich sein ursprüngliches Aussehen nur schwer vorstellen. Nirgendwo auf der Welt werden Sie so etwas finden.\n\nWir haben auch herausgefunden, dass PLANT 42 zwei Hauptquellen hat, um seine notwendigen Nährstoffe zu erhalten. Eine Quelle ist durch seine Wurzel. Irgendwie hat es sich im Keller verwurzelt.\n\nUnmittelbar nach dem Unfall wurde ein Wissenschaftler verrückt und zerstörte den Aqua Ring. Seitdem ist der Keller wie ein Pool. Es besteht eine hohe Wahrscheinlichkeit, dass es eine der Chemikalien im Wasser ist, die das schnelle Wachstum von PLANT 42 fördert.\n\nWir müssen jedoch noch die spezifische Chemikalie bestimmen.\n\nEin zwiebelartiger Körper der PLANT 42 wurde an der Decke des Erdgeschosses hängend gesichtet. Wir sind sicher, dass es die Luftkanäle benutzte, um in den ersten Stock zu gelangen. Zahlreiche lange, tentakelartige Ranken ragen aus der Zwiebel heraus.\n\nWir glauben, dass die Ranken das zweite Mittel sind, um ihre Nährstoffe aufzunehmen. Wenn die PLANT 42 Beute wahrnimmt, verwendet sie die tentakelartigen Ranken, um ihre Beute zu fangen. Danach entziehen Saugnäpfe an der Ranke der Beute ihr Blut.\n\nWir haben auch festgestellt, dass sie über eine gewisse Intelligenz verfügt. Wenn es seine Beute fängt oder wenn es inaktiv ist, winden sich die Ranken um die Tür, um mögliche Eindringlinge aufzuhalten.\n\nLeider sind mehrere unserer Wissenschaftler dieser PFLANZE 42 bereits zum Opfer gefallen. Als wir die Geschichten der Überlebenden hörten, waren sie alle beobachtete eines gemeinsam:\n\nWenn sich die einheitlichen, blütenblattartigen Klappen öffnen und seine lebenswichtigen Innereien freigeben, neigt er dazu, aggressiver zu werden.\n\nEin Zeuge berichtete, dass es so war, als würde er versuchen, sich selbst zu schützen. Warum es sich so verhält, ist noch unbekannt.\n\n21. Mai 1998\nHenry Sarton"
"Organic Chemistry Lab Experiment",Laborexperiment der organischen Chemie
OrganicChemistryLabExperimentTip_title,Laborexperiment der organischen Chemie
OrganicChemistryLabExperimentTip,"Die Ähnlichkeiten in den zellulären Eigenschaften der schnell wachsenden Pflanze, die mit dem Tyrant-Virus infiziert ist, wurde in früheren Veröffentlichungen berichtet. Bei der Wiederholung dieser Experimente wurde jedoch eine interessante neue Tatsache klar.\n\nWir haben erfahren, dass eine Chemikalie der UMB-Familie, UMB Nr. 20, eine Verbindung enthält, die für die Zellen der Pflanze toxisch ist.\n\nDas haben wir gab UMB Nr. 20 einen neuen Namen: V-JOLT. Wenn sich die Berechnungen als richtig erweisen und V-JOLT direkt auf die Wurzel der Pflanze aufgetragen wird, sollte die gesamte Pflanze innerhalb von 5 Sekunden tot sein.\n\nDas V-JOLT kann durch einfaches Mischen der VP- und UMB-Chemikalien in einer bestimmten Mischung hergestellt werden Verhältnis. Beim Umgang mit diesen UMB-Chemikalien ist jedoch besondere Vorsicht geboten. Es ist bekannt, dass sie bei falscher Handhabung giftige Gase erzeugen.\n\nDie Eigenschaften jeder UMB-Chemikalie sind wie folgt:\n\nUMB Nr. 3   rot\nGelb-6   gelb\nUMB Nr. 7   grün\nUMB Nr. 10   orange\nVP-017   blau\nV-JOLT   dunkelbraun"
"Family Picture and Notes",Familienbild und Notizen
FamilyPicture1Tip_title,Familienbild und Notizen
FamilyPicture1Tip,"Auf der Rückseite steht etwas\n\n\nNov. November 1967\n-Vorläufervirus verabreicht\n\nJessica\nVerabreichter Virus: Typ-A\nPlasmolyse von Gewebe während der Zellaktivierung.\n\nVirusfusion: Negativ\n\nAktion: Entsorgt\n\n\nLisa\n\ nVerabreichter Virus: Typ-B\nPlasmolyse von Gewebe während der Zellaktivierung.\n\nVirusfusion: Positive, aber verzögerte Fusion.\n\nKörpermodifikation: Beobachtete konstante Ergebnisse.\n\nStatus: Fortsetzung der schützenden Beobachtung.\n\n\nGeorge \nAktion: Beendet (30. Nov. 1967)"
"Lisa's Journal",Lisas Tagebuch
FamilyPicture2Tip_title,Lisas Tagebuch
FamilyPicture2Tip,"14. Nov. 1967\nMir wird schwindelig nach der Spritze, die sie mir gegeben haben. Ich sehe Mama nicht. Wohin haben sie sie gebracht?\nSie hat versprochen, dass wir zusammen fliehen würden. Ist sie allein geflohen und hat mich zurückgelassen?\n\nNov. 15., 1967\nIch habe Mama gefunden. Wir haben zusammen gegessen. Ich war sehr glücklich.\n\nAber sie war eine Fälschung. Nicht meine richtige Mutter. Gleiches Gesicht, aber innen anders.\n\nMuss Mama finden. Muss der Mutter das Gesicht zurückgeben.\n\nIch habe das Gesicht der Mutter zurückbekommen.\nNiemand außer mir kann meine Mutter haben. Ich befestige ihr Gesicht an mir, damit sie nicht weggeht.\nWeil Mama traurig ist, wenn ich sie ohne ihr Gesicht treffe.\n\nNov. 17, 19 7\naus der Schachtel, Duft von Mami. vielleicht wahre Mutter dort.\nSteinkiste hart. Es tat weh. Stahlseil im Weg.\nIch kann Mutter nicht sehen, wegen 4 Steinen.\n\n19\ndaddy hat zuerst angehängt\nMama hat an zweiter Stelle angehängt\n\nSeite rot und schleimig\nweiß und hart\n\nnicht wahre Mutter, wo\n\ndunnein Papa\nhat Mama wieder gefunden\n\nals eine Mutter meine\nSie hat sich nicht mehr bewegt\nsie hat geschrien\n\nwarum?\nWill nur mit ihr\n\n4\nMama\nwohin?\n\nIch vermisse dich"
"Jessica's Letter",Jessicas Brief
FamilyPicture3Tip_title,Jessicas Brief
FamilyPicture3Tip,"An meine Lisa,\n\nTag für Tag kann ich spüren, wie mein Bewusstsein immer weiter weg driftet.\nDie Spritzen, die mir von Männern in weißen Kleidern gegeben wurden, ließen etwas von Mamas Juckreiz verschwinden. Heute haben sie mir eine weitere Spritze gegeben und gesagt, es sei 'Ernährung'.\n\nWenn sie mir die Spritzen geben, kann Mama klar denken, aber Mama ist schockiert und traurig, weil Mama nicht die ganze Zeit an dich denken kann.\n\nMama hat Angst. Angst davor, alles zu vergessen, besonders die Erinnerungen an dich und Daddy... Wie deine Gesichter aussehen, wie wir früher zusammen waren... All das beginnt in meinem Kopf an einem dunklen Ort zu verschwinden.\n\nOh Lisa, Ich wünschte, ich könnte dein Gesicht berühren und dich jetzt in meinen Armen halten, damit ich unsere wunderbaren Erinnerungen an dich und Daddy festhalten kann.\n\nLisa, wir können nicht länger hier bleiben. Wir müssen fliehen!\n\nHör mir zu Lisa. Unsere Chance zu entkommen ist, wenn wir das nächste Mal zusammen in dieses Labor gehen. Wir werden beide so tun, als wären wir beide bewusstlos, und wenn dieser Mann in weißer Kleidung unvorbereitet ist, ist das unsere Chance.\n\nWenn wir draußen sind, lass uns gemeinsam nach Daddy suchen. Okay süßer? Sei stark, Lisa.\n\nNov. 13., 1967\nJessica Trevor"
"V-ACT",V-ACT
VACTTip_title,V-ACT
VACTTip,"Anmerkung des Forschers\n\nEs gibt jetzt Beweise dafür, dass der Körper in einen Ruhezustand übergeht, wenn der Wirt das Bewusstsein verliert. Während dieser Zeit wird das Virus aktiv und verändert und rekonstruiert schnell die grundlegende Zusammensetzung des Körpers.\n\nDer Wirt mutiert schließlich zu einer humanoiden Kreatur. (Wir nennen sie V-ACTs)\n\nSeine Geschwindigkeit und erstaunliche Muskelentwicklung sind besonders bemerkenswert. Nach der Verwandlung wird es beweglicher und aggressiver.\n\nBereits vier unserer Forscher sind beim Versuch, es zu füttern, gestorben, was den Ort sofort in ein Blutbad verwandelt hat. (Seit diesem tragischen und barbarischen Unfall haben wir uns entschieden, seine Art 'Crimson Heads' zu nennen)\n\nDieses gefährliche und kostbare Prototyp-Exemplar kann nicht dort gelassen werden. Wir müssen einen Weg finden, damit umzugehen. Eine Terminierung ist definitiv keine Option.\n\nWir entschieden uns schließlich dafür, das Exemplar einzufrieren und die Leiche im Keller des Hinterhoffriedhofs einzusperren."
"FAX",FAX
FAXTip_title,FAX
FAXTip,"An: Sanitation Division\nAttn: Manager of Sanitation\nVon: Raccoon Disaster Contingency Committee\n\nDer Inhalt dieses Faxes ist vertraulich und nur für den genannten Empfänger bestimmt. Jegliche Vervielfältigung oder Offenlegung des Inhalts dieses Faxes an Dritte ist dem Absender strengstens untersagt.\n\nNachdem Sie den Inhalt dieses Faxes gelesen haben, muss es sofort vernichtet werden.\n\nWir erwarten einen erheblichen Anstieg des entstandenen Schadens durch den jüngsten T-Virus-Ausbruch als ursprünglich angenommen. Es gibt mehrere Bedenken.\n\nErste Sorge\nMehr als die Hälfte der Forscher wurden mit dem T-Virus infiziert und starben. Es wurde auch berichtet, dass fast alle Überlebenden dieses Unfalls beginnen, Symptome der T-Virus-Infektion zu zeigen.\n\nZweite Sorge\nUnser geheimes Sicherheitspatrouillenteam wurde ebenfalls vollständig ausgerottet. Daher ist unsere geheimste Forschung in Gefahr, öffentlich bekannt zu werden. Schnelles Handeln ist erforderlich, um Berichterstattung in den Massenmedien zu verhindern.\n\nDritte Sorge\nEs besteht eine hohe Wahrscheinlichkeit, dass die meisten Exemplare frei im Gehege herumlaufen. Wir rechnen mit vielen Opfern, die folgen werden.\n\nSo bedauerlich es auch ist, diese Opfer unterstreichen den Erfolg unserer Forschungsergebnisse. Es müssen Maßnahmen ergriffen werden, um zu verhindern, dass unsere Forschungsergebnisse veröffentlicht werden.\n\nWir vermuten, dass die erste offizielle Intervention von der Staatspolizei und S.T.A.R.S. Wir empfehlen dringend, zuerst Maßnahmen gegen sie zu ergreifen."
"Security Protocols",Sicherheitsprotokolle
SecurityProtocolsTip_title,Sicherheitsprotokolle
SecurityProtocolsTip,"UNTERGESCHOSS ZWEI\n\nVisueller Datenraum/ Nur zur Verwendung durch die Spezialforschungsabteilung. Jeder andere Zugang zum Visual Data Room muss mit Keith Arving, Room Manager, geklärt werden.\n\n\nUNTERGESCHOSS 3\n\nGefängnis-/Sanitätsabteilung kontrolliert die Nutzung des Gefängnisses. Mindestens ein beratender Forscher (E. Smith, S. Ross, A. Wesker) muss anwesend sein, wenn die Verwendung von Viren genehmigt wird.\n\n\nTür mit dreifacher Verriegelung/ Der Zutritt zum Raum ist auf die einzige Person beschränkt, die die Verriegelung deaktiviert mit allen Passcodes. Durch den Zugriff auf die exklusiven Ausgangsterminals in jedem Abschnitt der Senior Researchers wird die Sperre deaktiviert.\n\nKraftraum/ In diesem Raum wird Nitroverbindung als primäre Energiequelle verwendet. Der Zugang ist auf Vorgesetzte der Zentrale beschränkt. Diese Einschränkung gilt möglicherweise nicht für beratende Forscher mit besonderer Berechtigung.\n\nPasscode-Ausgangsterminals/ Die Nutzung und der Zugriff auf die Ausgangsterminals sind auf autorisierte leitende Forscher beschränkt.\n\n\nUNTERGESCHOSS EBENE VIER\n\nIn Bezug auf den Fortschritt von 'Tyrant' nach der Verabreichung des T-Virus...\n(im Folgenden unleserlich...)"
Quest_Completion_tip_title,"Herausforderung abgeschlossen!"
Completion_desc,"Herzlichen Glückwunsch!!\nDu hast die Spencer Mansion Challenge erfolgreich abgeschlossen.\n\nIch hoffe, es macht dir genauso viel Spaß, es zu spielen, wie ich es gemacht habe!\n\nFrantic Dan"
Quest_Completion_tip,"Herzlichen Glückwunsch!!\nDu hast die Spencer Mansion Challenge erfolgreich abgeschlossen.\n\nIch hoffe, es macht dir genauso viel Spaß, es zu spielen, wie ich es gemacht habe!\n\nFrantic Dan"
zombieArlene,JaWoodle's Girl,JaWoodles Mädchen
zombieMarlene,Misterri
zombieNurse,Regenschirm-Chirurg
zombieJoe,Glock9s Händler
zombieSteve,Draycko
zombieBusinessMan,Aviose
zombieBoe,DD1GG
zombieJanitor,HellsJanitorTV
zombieMoe,TheOrigamiGuru
zombieLab,Regenschirm-Wissenschaftler
zombieDarlene,Lois Griffin
zombieYo,NotOnly25
zombieUtilityWorker,Aquarienarbeiter
zombieBiker,Games4Kickz
zombieLumberjack,JonahBirch
zombieFemaleFat,Groß Rot
zombieFatHawaiian,Peter Griffin
zombieMaleHazmat,Regenschirm Gefahrstofftechniker
zombieSkateboarder,DoctorBest85
zombieSoldier,Beauftragter für den Dachsicherheitsdienst
animalZombieDog,Zerberus
Zombie Dog,Zerberus
animalZombieVulture,Flappy Fick
animalSnake,Addierer
Web Spinner,Webspinner
Crimson Head,Purpurroter Kopf
Crimson Head Prototype,Purpurroter Kopf-Prototyp
Crimson Head Prototype2,Purpurroter Kopf-Prototyp
Forest Speyer,Forest Speyer
Forest Speyer2,Forest Speyer
Hunter,Jägerin
Failed Test Subject,Nicht bestandenes Testsubjekt
Plant 42,Werk 42
Yawn the Boar,Gähnen Sie den Eber
Black Tiger Spider,Schwarze Tigerspinne
Lisa Trevor,Lisa Trevor
Tyrant,Tyrannin
Super Tyrant,Super Tyrann
Boe Crawler,Verkrüppeltes DD1GG
Joe Crawler,Glock9s Verkrüppelter Händler
Janitor Crawler,Verkrüppelt HellsJanitorTV
Arlene Crawler,JaWoodles Verkrüppeltes Mädchen
Lab Worker Crawler,Verkrüppelter Regenschirm-Wissenschaftler
Darlene Crawler,Verkrüppelte Lois Griffin
Marlene Crawler,Verkrüppelter Misterri
Yo Crawler,Verkrüppelt NotOnly25
Steve Crawler,Verkrüppelter Draycko
Business Man Crawler,Verkrüppelte Aviose
Burnt Crawler,Verkrüppelter purpurroter Kopf
Nurse Crawler,Verkrüppelter Regenschirm-Chirurg
Hazmat Crawler,Verkrüppelter Regenschirm-Hazmat-Techniker
Skateboarder Crawler,Verkrüppelter DoctorBest85
zombieMarleneRadiated,Misterri
zombieJoeRadiated,Glock9s Händler
zombieJanitorRadiated,HellsJanitorTV
zombieYoRadiated,NotOnly25,NotOnly25


attStrengthRank01LongDesc,"Jeder will den Körper eines Bodybuilders, aber niemand will diese schweren Gewichte heben. Du verursachst 215 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 3 %, dein Ziel zu zergliedern."
attStrengthRank02LongDesc,"Du magst schmächtig sein, aber in dir brennt der Wunsch, groß und stark zu werden. Du verursachst 230 % Schaden mit Kopfschüssen und hast mit Schrotflinten, Knüppeln, Vorschlaghämmern und Werkzeugen mit Bergarbeitermeister eine Chance von 6 %, dein Ziel zu zergliedern."
