Key,italian
KeeperDiaryTip,"9 maggio 1998\nHa giocato a poker stasera con Scott e Alias ​​della Security e Steve della Research. Steve è stato il grande vincitore, ma penso che stesse barando. Scumbag.\n\n10 maggio 1998\nUno dei superiori mi ha incaricato di prendermi cura di una nuova creatura. Sembra un gorilla dalla pelle. Le istruzioni per l'alimentazione dovevano dargli animali vivi. Quando ho gettato dentro un maiale, la creatura sembrava giocarci... strappandogli le zampe e tirando fuori le budella prima che iniziasse effettivamente a mangiare.\n\n11 maggio 1998\nIntorno alle 5 del mattino, Scott mi ha svegliato . Ha spaventato a morte anche me. Indossava una tuta protettiva. Me ne porse un altro e mi disse di metterlo. Ha detto che c'era stato un incidente nel laboratorio nel seminterrato. Sapevo solo che sarebbe successa una cosa del genere. Quei bastardi della Ricerca non dormono mai, nemmeno in vacanza\n\n12 maggio 1998\nIndosso quella dannata tuta spaziale da ieri. La mia pelle sta diventando sporca e mi prude dappertutto. Quei dannati cani mi hanno guardato in modo strano, quindi ho deciso di non dar loro da mangiare oggi. Fanculo.\n\n13 maggio 1998\nSono andato in infermeria perché la mia schiena è tutta gonfia e mi prude. Ci hanno messo una grossa benda e mi hanno detto che non avevo più bisogno di indossare l'abito. Tutto quello che voglio fare è dormire.\n\n14 maggio 1998\nQuesta mattina ho trovato un'altra grossa vescica sul mio piede. Ho finito per trascinare il mio piede fino al recinto del cane. Sono stati tranquilli tutto il giorno, il che è strano. Poi ho capito che alcuni di loro erano scappati. Forse questo è il loro modo di vendicarsi di me per non averli nutriti negli ultimi tre giorni. Se qualcuno lo scopre, mi passerò la testa.\n\n16 maggio 1998\nRusse in giro che un ricercatore che ha cercato di fuggire dalla tenuta la scorsa notte è stato ucciso. Tutto il mio corpo si sente caldo e pruriginoso e sto sudando tutto il tempo ora. Mi sono grattato il gonfiore sul braccio e un pezzo di carne marcia è appena caduto. Che diavolo mi sta succedendo?\n\n19 maggio 1998\nFebbre scomparsa ma pruriginosa. Oggi affamato e mangia cibo per cani.\n\n21 maggio 1998\n Scott pruriginoso e pruriginoso ha avuto una brutta faccia, quindi lo ha ucciso. Gustoso. 4 / / Prurito. Gustoso."
Mail to the Chief of Security,Posta al capo della sicurezza
MailToTheChiefOfSecurityTip_title,Posta al capo della sicurezza
MailToTheChiefOfSecurityTip,"RISERVATO\n\nAttn: Capo della Sicurezza\n\nData: 22 luglio 1998 2:13\n\nX Day si avvicina. Eseguire le seguenti procedure entro una settimana. Sono richieste azioni tempestive.\n\nLure S.T.A.R.S. alla tenuta e ottenere i dati di combattimento grezzi di BOW contro S.T.A.R.S.\n\nRaccogliere due embrioni di ciascun esemplare mutato come campioni, escluso il Tyrant. Smaltisci il Tiranno.\n\nAssicurati lo smaltimento completo del Laboratorio Arklay, compreso tutto il personale e gli animali da test. Travesti la loro morte come un incidente.
Quando le procedure di cui sopra sono state eseguite, riferisci alla sede per ulteriori istruzioni.\n\nSe per qualche motivo non sei in grado di eseguire la procedura entro la scadenza, riferisci immediatamente. In caso di situazioni di emergenza, riferire direttamente al numero interno 5691.\n\nBuona fortuna.\nQuartier generale dell'Umbrella,\nUmbrella Inc."
Researcher's Letter,Lettera del ricercatore
ResearcherLetterTip_title,Lettera del ricercatore
ResearcherLetterTip,"8 giugno 1998\nMia carissima Ada.\n\nQuando leggerai questa lettera, non sarò più la persona che conoscevi una volta. I risultati del mio test sono usciti oggi e, come sospettavo, sono risultati positivi.\n\nMi sento come se fossi sull'orlo della ragione solo pensando al mio destino imminente. Darei qualsiasi cosa per non dover diventare uno di loro.\n\nPer quanto ne so, non sei infetto. Spero sinceramente che le cose non raggiungano un livello così disperato, ma se si è scoperto che ora sei l'ultima persona rimasta in vita, voglio che tu prenda il materiale dalla Visual Data Room.\n\nQuindi, attiva il Self- Distruggi il sistema nella Power Room e scappa da qui. Per favore, fai tutto ciò che è in tuo potere per rendere pubblico l'intero incidente.\n\nSe tutto funziona ancora normalmente, dovresti essere in grado di sbloccare tutti i lucchetti usando il sistema di sicurezza.\n\nHo impostato il terminale nella piccola sicurezza stanza in modo da poter accedere al sistema usando il mio nome e il tuo nome come password.\n\nAvrai bisogno di un'altra password per aprire la serratura della porta nel seminterrato due, dove si trova la Visual Data Room.\n\ nCome misura di sicurezza ho codificato quella password in un'immagine a raggi X; un roentgenogramma. Ti conosco e sono sicuro che sarai in grado di risolverlo senza problemi.\n\nC'è solo un'altra cosa... ed è la mia ultima richiesta. Spero che tu non debba mai posare gli occhi su di me in questo stato, ma se ti capita di imbatterti in me nella mia forma orribile, ti prego di mettermi fuori dalla mia miseria. Spero che tu capisca.\n\nGrazie, Ada.\nCordiali saluti,\nJohn"
Observation Note,Nota di osservazione
ObservationNoteTip_title,Nota di osservazione
ObservationNoteTip,"La scoperta del virus G è avvenuta infatti 21 anni dopo la somministrazione del virus capostipite.\n\nIl "parassita prototipo" che avevamo consegnato da un laboratorio in Francia è stato somministrato al campione campione. Il campione ha preso il parassita senza mostrare alcun segno di reazione avversa.\n\nLa mancanza di qualsiasi reazione era un mistero irrisolto. Ma ora tutto mi è chiaro.\n\nIl 'parassita prototipo' ha incubato nel corpo del campione per 21 anni. Poi da quello stato di incubazione il prototipo mutò improvvisamente. ("Evoluto" potrebbe essere una parola più appropriata per descriverlo.)\n\nQuesta osservazione mi ha dato più informazioni sulla mia ricerca. Attraverso ulteriori modifiche e test, sono stato in grado di ricavare un metodo per creare la "G" che supera le prestazioni della "T".\n\nQuesta è stata la svolta che avrebbe cambiato il futuro della storia di BOW.\n \nNon vedo l'ora di vedere lo sguardo sulla faccia irritante di Alexia quando finalmente annuncerò la mia ricerca. Ma sfortunatamente dovrò aspettare ancora qualche anno per verificare completamente le mie scoperte.\n\nWilliam Birkin"
Suicide Note,Nota di suicidio
SuicideNoteTip_title,Nota di suicidio
SuicideNoteTip,"22 giugno 1998\n\nDovevo farlo. Siamo scappati da quelle cose, aiutandoci a vicenda a sopravvivere. Ma Robert iniziò a mostrare i sintomi. Dovevo farlo. Quelle maledette cose sono puro male.\n\nNon c'era altro modo. Avrebbe fatto lo stesso se fosse stato il contrario. Dopo averlo messo fuori dalla sua miseria, ho dovuto metterlo in bagno. Ora sono probabilmente l'ultimo...\n\nCome è potuto succedere? Non mi perdonerò mai di far parte di questo progetto. Alla fine, però, avrò quello che mi sta succedendo. Non c'è modo di scappare da questo manicomio, ora è solo questione di tempo.\n\nTutto è pronto. Tutto ciò di cui ho bisogno è un po' di coraggio per farlo. Sapere che lascerò molte cose incompiute è un rimpianto al di là delle parole.\n\nMa è meglio che aspettare di trasformarsi in una di queste. Per favore, capisci e almeno lasciami porre fine alla mia vita come persona.\n\nC'è un messaggio sul retro.\n\nLinda, per favore perdonami..."
Plant 42 Report,Rapporto sull'impianto 42
Plant42ReportTip_title,Rapporto sull'impianto 42
Plant42ReportTip,"Sono passati quattro giorni dall'incidente. La pianta al punto 42 sta crescendo a un ritmo incredibile.\n\nSebbene ci siano molti aspetti sconosciuti su questa pianta, sappiamo che rispetto all'altro gruppo di piante, il virus T ha avuto un effetto sostanzialmente più forte su questa .\n\nIl virus T ha drasticamente modificato l'anatomia del suo ospite e le sue dimensioni. Guardando il suo stato attuale, è difficile immaginarne l'aspetto originario. Da nessuna parte sulla Terra troverai niente di simile.\n\nAbbiamo anche scoperto che la PIANTA 42 ha due fonti principali per acquisire i nutrienti necessari. Una fonte è attraverso la sua radice. In qualche modo si è radicato nel seminterrato.\n\nSubito dopo l'incidente, uno scienziato è impazzito e ha distrutto l'Aqua Ring. Da allora, il seminterrato è stato come una piscina. C'è un'alta possibilità che sia una delle sostanze chimiche nell'acqua che sta promuovendo la rapida crescita della PIANTA 42.\n\nTuttavia, dobbiamo ancora determinare la sostanza chimica specifica.\n\nUn corpo a forma di bulbo della PIANTA 42 è stato avvistato appeso al soffitto del primo piano. Siamo sicuri che abbia utilizzato i condotti dell'aria per raggiungere il primo piano. Dal bulbo sporgono numerose viti lunghe simili a tentacoli.\n\nCrediamo che le viti siano il secondo mezzo per acquisire i suoi nutrienti. Quando il PLANT 42 rileva la preda, usa le viti tentacolari per catturare la sua preda. Dopo averlo fatto, i polloni sulla vite drenano la preda del suo sangue.\n\nAbbiamo anche notato che ha una certa intelligenza. Quando cattura la sua preda o quando è inattivo, le viti si attorcigliano attorno alla porta per fermare possibili intrusi.\n\nPurtroppo, molti dei nostri scienziati sono già caduti vittime di questa PIANTA 42. Quando abbiamo sentito le storie dei sopravvissuti, tutti loro ha osservato una cosa in comune:\n\nQuando i lembi uniformi simili a petali si aprono e rivelano i suoi interni vitali, ha la tendenza a diventare più aggressivo.\n\nUn testimone ha riferito che era come se stesse cercando di proteggersi. Perché si comporti in quel modo è ancora sconosciuto.\n\n21 maggio 1998\nHenry Sarton"
Organic Chemistry Lab Experiment,Esperimento di laboratorio di chimica organica
OrganicChemistryLabExperimentTip_title,Esperimento di laboratorio di chimica organica
OrganicChemistryLabExperimentTip,"Le somiglianze nelle caratteristiche cellulari della pianta in rapida crescita infetta dal virus Tyrant sono state riportate in articoli precedenti. Tuttavia, ripetendo questi esperimenti, è diventato chiaro un nuovo fatto interessante.\n\nAbbiamo appreso che una sostanza chimica della famiglia UMB, UMB n. 20, contiene un composto tossico per le cellule della pianta.\n\nAbbiamo dato a UMB n. 20 un nuovo nome: V-JOLT. Se i calcoli si rivelano corretti, quando V-JOLT viene applicato direttamente alla radice della pianta, l'intera pianta dovrebbe essere morta entro 5 secondi.\n\nIl V-JOLT può essere realizzato semplicemente mescolando le sostanze chimiche VP e UMB in un apposito rapporto. Tuttavia, è necessario prestare particolare attenzione quando si maneggiano queste sostanze chimiche UMB. È noto che generano gas tossici se maneggiati in modo improprio.\n\nLe caratteristiche di ciascuna sostanza chimica UMB sono le seguenti:\n\nUMB n. 3 rosso\ngiallo-6 giallo\nUMB n. 7 verde\nUMB n. 10 arancione\ nVP-017 blu\nV-JOLT marrone scuro"
Family Picture and Notes,Foto e note di famiglia
FamilyPicture1Tip_title,Foto e note di famiglia
FamilyPicture1Tip,"C'è qualcosa scritto sul retro\n\n\nNov. 10, 1967\n-Virus capostipite somministrato\n\nJessica\nVirus somministrato: Tipo-A\nPlasmolisi dei tessuti durante l'attivazione cellulare.\n\nFusione virus: Negativo\n\nAzione: Eliminato\n\n\nLisa\n\ nVirus somministrato: tipo B\nPlasmolisi del tessuto durante l'attivazione cellulare.\n\nFusione del virus: fusione positiva ma ritardata.\n\nModifica del corpo: risultati costanti osservati.\n\nStato: continua osservazione protettiva.\n\n\nGeorge \nAzione: terminata (30 novembre 1967)"
Lisa's Journal,Il diario di Lisa
FamilyPicture2Tip_title,Il diario di Lisa
FamilyPicture2Tip,"14 novembre 1967\nHo le vertigini dopo lo scatto che mi hanno fatto. Non vedo la mamma. Dove l'hanno portata?\nHa promesso che saremmo scappati insieme. È scappata da sola e mi ha lasciato indietro?\n\nNov. 15, 1967\nHo trovato la mamma. Abbiamo mangiato insieme. Ero molto felice.\n\nMa era una falsa. Non la mia vera mamma. Stessa faccia ma dentro diversa.\n\nDevo trovare la mamma. Devo restituire la faccia a mia madre.\n\nHo riavuto la faccia di mamma.\nNessuno può avere mia madre tranne me. Attacco la sua faccia a me in modo che non se ne vada.\nPerché la mamma è triste quando la incontro senza la sua faccia.\n\nNov. 17, 19 7\nda dentro la scatola, profumo di mamma. forse la vera madre lì.\nscatola di pietra dura. Fa male. corda d'acciaio sulla strada.\nnon riesco a vedere mamma perché 4 pietre.\n\n19\ndaddy si è attaccato per primo\nmamma si è attaccata scond\n\nside rossa e viscida\nbianca e dura\n\nnon vera mamma dove\n\ndunno papà\nho ritrovato la mamma\n\nquando e mia mamma\nnon si muoveva più\nstava urlando\n\nperché?\nVoglio solo scopare con lei\n\n4\nmamma\ndove?\n\nMi manchi"
Jessica's Letter,La lettera di Jessica
FamilyPicture3Tip_title,La lettera di Jessica
FamilyPicture3Tip,"Alla mia Lisa,\n\nGiorno dopo giorno sento la mia coscienza allontanarsi sempre di più.\nGli scatti datimi da uomini vestiti di bianco hanno fatto sparire parte del prurito della mamma. Oggi mi hanno dato un'altra possibilità dicendo che era "nutrizione".\n\nQuando mi danno le iniezioni, la mamma può pensare in modo chiaro, ma la mamma è scioccata e triste perché la mamma non riesce a pensare a te tutto il tempo.\n\nLa mamma ha paura. Paura di dimenticare tutto, specialmente i ricordi di te e papà... Che aspetto hanno i tuoi volti, come stavamo insieme... Stanno tutti iniziando a scomparire in un posto oscuro nella mia mente.\n\nOh Lisa, Vorrei poterti toccare il viso e tenerti tra le mie braccia in questo momento, così da poter conservare i nostri meravigliosi ricordi di te e papà.\n\nLisa, non possiamo più stare qui. Dobbiamo scappare!\n\nAscoltami Lisa. La nostra possibilità di scappare è la prossima volta che andiamo insieme in quel laboratorio. Faremo entrambi finta di essere entrambi privi di sensi e quando quell'uomo vestito di bianco sarà alla sprovvista, quella sarà la nostra occasione.\n\nQuando saremo fuori, cerchiamo papà insieme. Va bene tesoro? Sii forte, Lisa.\n\nNov. 13, 1967\nJessica Trevor"
V-ACT,V-ACT
VACTTip_title,V-ACT
VACTTip,"Nota del ricercatore\n\nOra ci sono prove che quando l'ospite perde conoscenza, il corpo entra in uno stato dormiente. Durante questo periodo il virus si attiva e si trasforma rapidamente e ricostruisce la composizione di base del corpo.\n\nL'ospite alla fine è mutato in una creatura umanoide. (Li chiamiamo V-ACT)\n\nLa sua velocità e lo straordinario sviluppo muscolare sono particolarmente degni di nota. Dopo la trasformazione, diventa più agile e aggressivo.\n\nGià quattro dei nostri ricercatori sono morti nel tentativo di nutrirlo, trasformando il posto in un bagno di sangue istantaneo. (Sin da questo tragico e barbaro incidente, abbiamo deciso di chiamarlo 'Crimson Heads')\n\nQuel pericoloso e prezioso esemplare di prototipo non può essere lasciato lì. Dobbiamo trovare un modo per affrontarlo. La cessazione non è sicuramente un'opzione.\n\nAlla fine abbiamo deciso di congelare l'esemplare e confinare il corpo nel seminterrato del cimitero sul retro."
FAX,FAX
FAXTip_title,FAX
FAXTip,"A: Divisione Sanificazione\nAttn: Responsabile della Sanificazione\nDa: Comitato di emergenza per disastri di procione\n\nIl contenuto di questo fax è riservato e destinato esclusivamente al destinatario indicato. Qualsiasi copia o divulgazione del contenuto di questo fax a terzi è severamente vietata dal mittente.\n\nDopo aver letto il contenuto di questo fax, deve essere distrutto immediatamente.\n\nPrevediamo un aumento significativo del danno arrecato dalla recente epidemia di T-Virus rispetto a quanto inizialmente stimato. Ci sono diverse preoccupazioni.\n\nPrima preoccupazione\nPiù della metà dei ricercatori è stata infettata dal virus T ed è morta. È stato anche riferito che quasi tutti i sopravvissuti a questo incidente stanno iniziando a mostrare i sintomi dell'infezione da Virus T.\n\nSeconda preoccupazione\nAnche la nostra squadra di pattuglia di sicurezza segreta è stata completamente sradicata. Pertanto, la nostra ricerca più segreta rischia di essere divulgata al pubblico. Sono necessarie azioni rapide per impedire la copertura dei mass media.\n\nTerza preoccupazione\nC'è un'alta possibilità che la maggior parte dei campioni si stia allentando all'interno del complesso. Ci aspettiamo che seguano molte vittime.\n\nTuttavia, sfortunatamente, queste vittime sottolineano il successo dei risultati della nostra ricerca. Devono essere intraprese azioni per evitare che i risultati delle nostre ricerche vengano resi pubblici.\n\nSospettiamo che il primo intervento ufficiale venga dalla Polizia di Stato e dalla S.T.A.R.S. Raccomandiamo vivamente di prendere prima misure contro di loro."
Security Protocols,Protocolli di sicurezza
SecurityProtocolsTip_title,Protocolli di sicurezza
SecurityProtocolsTip,"SEMINTERRATO LIVELLO DUE\n\nSala dati visivi/ Ad uso esclusivo della Divisione Ricerca Speciale. Tutti gli altri accessi alla Visual Data Room devono essere autorizzati a Keith Arving, Room Manager.\n\n\nSEMINTERRATO LIVELLO TRE\n\nLa divisione carcere/sanità controlla l'uso della prigione. Almeno un ricercatore consulente (E. Smith, S. Ross, A. Wesker) deve essere presente se l'uso virale è autorizzato.\n\n\nPorta a tripla serratura/L'ingresso nella stanza è limitato alla sola persona che disattiva la serratura con tutti i codici di accesso. L'accesso agli esclusivi Terminali di Uscita situati in ogni sezione dei Ricercatori Senior disattiva la serratura.\n\nPower Room/ In questa stanza il composto nitro viene utilizzato come principale fonte di alimentazione del carburante. L'accesso è limitato ai Supervisori della sede centrale. Questa restrizione potrebbe non essere applicabile ai Ricercatori Consulenti con autorizzazione speciale.\n\nTerminali di uscita con codice di accesso/ L'uso e l'accesso ai Terminali di uscita è limitato ai ricercatori senior autorizzati.\n\n\nBASEMENT LIVELLO QUATTRO\n\nRiguardo allo stato di avanzamento di ' Tyrant' dopo la somministrazione di T-Virus...\n(Illeggibile di seguito...)"
Quest_Completion_tip_title,Sfida completata!
Completion_desc,Congratulazioni!!\nHai completato con successo la Spencer Mansion Challenge.\n\nSpero che ti divertirai a giocarci tanto quanto ho fatto io a crearlo!\n\nFrantic Dan
Quest_Completion_tip,Congratulazioni!!\nHai completato con successo la Spencer Mansion Challenge.\n\nSpero che ti divertirai a giocarci tanto quanto ho fatto io a crearlo!\n\nFrantic Dan
zombieArlene,La ragazza di JaWoodle
zombieMarlene,Misterri
zombieNurse,Chirurgo dell'Ombrello
zombieJoe,Il rivenditore di Glock9
zombieSteve,Draycko
zombieBusinessMan,Aviose
zombieBoe,DD1GG
zombieJanitor,HellsJanitorTV
zombieMoe,TheOrigamiGuru
zombieLab,Scienziato dell'ombrello
zombieDarlene,Lois Griffin
zombieYo,NotOnly25
zombieUtilityWorker,Operaio dell'acquario
zombieBiker,Games4Kickz
zombieLumberjack,JonahBirch
zombieFemaleFat,Big Red
zombieFatHawaiian,Peter Griffin
zombieMaleHazmat,Tecnico dell'Ombrello Hazmat
zombieSkateboarder,DoctorBest85
zombieSoldier,Funzionario del servizio di sicurezza dell'ombrello
animalZombieDog,Cerbero
Zombie Dog,Cerbero
animalZombieVulture,Cazzo Flappy
animalSnake,Sommatore
Web Spinner,Web Spinner
Crimson Head,Testa cremisi
Crimson Head Prototype,Prototipo di testa cremisi
Crimson Head Prototype2,Prototipo di testa cremisi
Forest Speyer,Forest Speyer
Forest Speyer2,Forest Speyer
Hunter,Cacciatore
Failed Test Subject,Soggetto del test fallito
Plant 42,Pianta 42
Yawn the Boar,Sbadiglia il cinghiale
Black Tiger Spider,Ragno tigre nero
Lisa Trevor,Lisa Trevor
Tyrant,Tiranno
Super Tyrant,Supertiranno
Boe Crawler,DD1GG paralizzato
Joe Crawler,Il commerciante paralizzato di Glock9
Janitor Crawler,Paralizzato HellsJanitorTV
Arlene Crawler,La ragazza paralizzata di JaWoodle
Lab Worker Crawler,Scienziato dell'ombrello paralizzato
Darlene Crawler,Lois Griffin paralizzato
Marlene Crawler,Misterri paralizzato
Yo Crawler,NotOnly25 paralizzato
Steve Crawler,Draycko paralizzato
Business Man Crawler,Aviose paralizzato
Burnt Crawler,Testa cremisi paralizzata
Nurse Crawler,Chirurgo dell'ombrello paralizzato
Hazmat Crawler,Tecnico Hazmat per ombrelli paralizzato
Skateboarder Crawler,Paralizzato DoctorBest85
zombieMarleneRadiated,Misterri
zombieJoeRadiated,Il rivenditore di Glock9
zombieJanitorRadiated,HellsJanitor
zombieYoRadiated,NotOnly25


attStrengthRank01LongDesc,"Tutti vogliono essere un bodybuilder ma nessuno vuole sollevare quei pesi pesanti. Infliggi il 215% di danni da colpo alla testa e hai il 3% in più di possibilità di smembrare con fucili e pugni."
attStrengthRank02LongDesc,"Potresti essere magro ma hai un fuoco dentro per diventare grande e forte. Infliggi il 230% di danni da colpo alla testa e hai una probabilità del 6% di smembrarsi con fucili e pugni."
attStrengthRank03LongDesc,"Cosa ci fa un bevitore di latte come te nell'apocalisse zombie? Infliggi il 245% di danni da colpo alla testa e hai una probabilità maggiore del 9% di smembrare con fucili e pugni."
attStrengthRank04LongDesc,"La tua ruota di scorta potrebbe impedirti di morire di fame, ma non ti aiuta a far oscillare una mazza. Infliggi il 260% di danni da colpo alla testa e hai il 12% in più di possibilità di smembrare con fucili e pugni."
attStrengthRank05LongDesc,"Sei in forma e in grado di infliggere il 275% di danni da colpo alla testa e hai una probabilità maggiore del 15% di smembrarti con fucili e pugni."
attStrengthRank06LongDesc,"Sei molto forte e tutti i normali in palestra sono invidiosi. Infliggi il 290% di danni da colpo alla testa e hai il 18% in più di possibilità di smembrare con fucili e pugni."
attStrengthRank07LongDesc,"Il pompaggio di mazze e mazze ti ha dato dei guadagni, fratello. Infliggi il 305% di danni da colpo alla testa e hai il 21% in più di possibilità di smembrare con fucili e pugni."
attStrengthRank08LongDesc,"La tua enorme forza è leggendaria. Infliggi il 320% di danni da colpo alla testa e hai il 24% in più di possibilità di smembrare con fucili e pugni."
attStrengthRank09LongDesc,"Dimensioni, forza e potenza sono tutti di livello campione ora. Infliggi il 335% di danni da colpo alla testa e hai il 27% in più di possibilità di smembrare con fucili e pugni."
attStrengthRank10LongDesc,"Potresti essere un campione olimpico se l'apocalisse non avesse infranto quel sogno. Ora puoi semplicemente schiacciare gli zombi. Infliggi il 350% di danni da colpo alla testa e hai il 30% in più di possibilità di smembrare con fucili e pugni."
perkDemolitionsExpertRank1LongDescRE,"Ora sei un iniziato granatiere, fai attenzione con quegli esplosivi. Aumenta il danno del 17%, la velocità di ricarica del 10%, mira il 15% più velocemente, il 15% in più di possibilità di smembrare."
perkDemolitionsExpertRank2LongDescRE,"Aumenta il danno del 34%, la velocità di ricarica del 20%, mira il 30% più velocemente, il 30% in più di possibilità di smembrare."
perkDemolitionsExpertRank3LongDescRE,"Ora sei un gestore di esplosivi. Aumenta il danno del 51%, aumenta la velocità di ricarica del 30%, mira il 45% più velocemente, il 45% in più di possibilità di smembrare."
perkBoomstickRank1LongDescRE,"Infligge il 17% di danni in più, una cadenza di fuoco più rapida del 10% e una ricarica più rapida del 10%. Stordisci i nemici per 6 secondi.\nAumenta la possibilità di smembrare del 5%."
perkBoomstickRank3LongDescRE,"Infligge il 34% di danni in più, una cadenza di fuoco più rapida del 20% e una ricarica più rapida del 20%. Stordisci i nemici per 8 secondi.\nAumenta la possibilità di smembrare del 10%."
perkBoomstickRank5LongDescRE,"Infligge il 51% di danni in più, una cadenza di fuoco più rapida del 30% e una ricarica più rapida del 30%.\nI colpi alle gambe paralizzano gli avversari."
perkBrawlerNameRE,Attaccabrighe (Slots 7 8 9 0)
perkBrawlerRank1LongDescRE,Infliggi il 17% di danni in più con i pugni. I pugni alla testa negano la capacità di infezione.
perkBrawlerRank3LongDescRE,Infliggi il 34% di danni in più con i pugni. Gli attacchi di potenza alla testa hanno una probabilità del 20% di atterrare il tuo avversario e hanno una probabilità del 30% di scaglionare gli avversari con attacchi di potenza.
perkBrawlerRank5LongDescRE,Infliggi il 51% di danni in più. Gli attacchi potenti alla testa hanno una probabilità del 30% di abbattere il tuo avversario e hanno una maggiore possibilità di far esplodere le teste con i pugni.
perkSexualTrexRank1LongDescRE,Sei passato allo scaldapanca. Riduci del 6% l'utilizzo della resistenza in mischia e degli strumenti e del 10% gli attacchi potenti.
perkSexualTrexRank2LongDescRE,Ora sei un atleta in buona fede ed essere senza fiato per non fare nulla è un ricordo del passato. Riduce l'utilizzo della resistenza in mischia e degli strumenti del 12% e gli attacchi potenti del 20%.\nI colpi mortali garantiscono 10 resistenza.
perkSexualTrexRank3LongDescRE,Nessuno mancherà di rispetto a un guerriero. Riduce l'utilizzo della resistenza in mischia e degli strumenti del 18% e gli attacchi potenti del 30%.\nI colpi mortali garantiscono 15 di resistenza.
perkSexualTrexRank4LongDescRE,Ora sei un gladiatore in gabbia e hai raggiunto la più alta abilità atletica possibile. Riduce l'utilizzo della resistenza in mischia e degli strumenti del 24% e gli attacchi potenti del 40%.\nI colpi mortali garantiscono 20 resistenza.
perkMiner69rNameRE,Minatore 69'er (Coltello/Chiave)
perkMiner69rDescRE,Massimizza i tuoi sforzi di estrazione aumentando il danno degli strumenti per abbattere rocce e alberi più velocemente.
perkMiner69rRank1LongDescRE,Aumenta il danno da blocco del 50% con coltello e chiave inglese.
perkMiner69rRank2LongDescRE,Aumenta il danno da blocco del 100% con coltello e chiave inglese.
perkMiner69rRank3LongDescRE,Aumenta il danno da blocco del 150% con coltello e chiave inglese.
attFortitudeRank01LongDesc,Non sei molto resistente o sano, ma almeno sei vivo. Infliggi il 215% di danni da colpo alla testa e hai una probabilità del 3% di smembrarsi con le mitragliatrici.
attFortitudeRank02LongDesc,"Ti senti un po' meglio di prima. Infliggi il 230% di danni da colpo alla testa e hai una probabilità del 6% di smembrarsi con le mitragliatrici."
attFortitudeRank03LongDesc,Continui a sfidare la gravità e rimani in piedi. Infliggi il 245% di danni da colpo alla testa e hai una probabilità del 9% di smembrarsi con le mitragliatrici.
attFortitudeRank04LongDesc,"Cominciate a sentirvi persone normali. Infliggi il 260% di danni da colpo alla testa e hai una probabilità del 12% di smembrarsi con le mitragliatrici."
attFortitudeRank05LongDesc,Sei in buona salute. Infliggi il 275% di danni da colpo alla testa e hai una probabilità del 15% di smembrarsi con le mitragliatrici.
attFortitudeRank06LongDesc,Sei molto sano. Infliggi il 290% di danni da colpo alla testa e hai una probabilità del 18% di smembrarsi con le mitragliatrici.
attFortitudeRank07LongDesc,Hai una salute vigorosa. Infliggi il 305% di danni da colpo alla testa e hai una probabilità del 21% di smembrarsi con le mitragliatrici.
attFortitudeRank08LongDesc,Sei resiliente come loro. Infliggi il 320% di danni da colpo alla testa e hai una probabilità del 24% di smembrarsi con le mitragliatrici.
attFortitudeRank09LongDesc,Hai una costituzione incredibile. Infliggi il 335% di danni da colpo alla testa e hai una probabilità del 27% di smembrarsi con le mitragliatrici.
attFortitudeRank10LongDesc,Hai una forza d'animo esuberante e puoi abbattere un tornado. Infliggi il 350% di danni da colpo alla testa e hai una probabilità del 30% di smembrarsi con le mitragliatrici.
perkMachineGunnerRank3LongDescRE,"Tutto il combattimento ha affinato le tue abilità e ora sei un soldato. Infligge il 17% di danni in più, una cadenza di fuoco più veloce dell'8% e ricarica il 10% più velocemente. Commando Adrenaline: ogni colpo segnato con armi automatiche ti dà 1 resistenza."
perkMachineGunnerRank4LongDescRE,"La tua abilità ora corrisponde alle forze speciali. Infligge il 34% di danni in più, una cadenza di fuoco più veloce del 16% e ricarica il 20% più velocemente. Commando Adrenaline: ogni colpo segnato con armi automatiche ti dà 2 resistenza."
perkMachineGunnerRank5LongDescRE,"Ora sei l'ultimo mitragliere. Infligge il 51% di danni in più, una cadenza di fuoco più veloce del 24% e ricarica il 30% più velocemente. Commando Adrenaline: ogni colpo segnato con armi automatiche ti dà 3 resistenza."
perkPainToleranceRank1LongDescRE,Aumenta la valutazione della tua armatura di 1 per ogni pezzo di armatura che indossi (lo schermo del personaggio viene visualizzato in modo impreciso) e riduce la probabilità di essere stordito del 34%.
perkPainToleranceRank2LongDescRE,Aumenta la valutazione della tua armatura di 2 per ogni pezzo di armatura che indossi (lo schermo del personaggio viene visualizzato in modo impreciso) e riduce la probabilità di essere stordito del 67%.
perkPainToleranceRank3LongDescRE,Aumenta la valutazione della tua armatura di 3 per ogni pezzo di armatura che indossi (lo schermo del personaggio viene visualizzato in modo impreciso) e non rimanere mai stordito.
buffPerkCharismaticNatureDescRE,Stai usando il tuo istinto di sopravvivenza!
perkCharismaticNatureDescRE,Sei un sopravvissuto.
perkCharismaticNatureNameRE,Istinto di sopravvivenza
perkCharismaticNatureRank1DescRE,In forma e in salute
perkCharismaticNatureRank2DescRE,Forza bruta
perkCharismaticNatureRank3DescRE,Pelle di ferro
perkCharismaticNatureRank1LongDescRE,Il tuo istinto di sopravvivenza ti fa guadagnare 20 punti salute e resistenza.
perkCharismaticNatureRank2LongDescRE,Il tuo danno da blocco è aumentato del 50% e il danno da entità dell'8.5%.
